book_link,book_five_star,book_four_star,book_three_star,book_two_star,book_one_star,book_ranks,book_serie,book_gelezens,book_aanhetlezens,book_wiliklezens,book_favoriets,book_recensiess,book_genre,book_aantal_pagina,book_uitgeverij,book_eerste_editie,book_laaste_editi,book_isbn
https://www.hebban.nl/boek/barbecue-dumonts-kleine-lexicon-r-kimpel,0,0,0,0,0,-1,[],0,0,0,0,0,"['Culinair', 'Eten en drinken algemeen']",300,Rebo Productions B.V.,13 mei 2006,13 mei 2006,9789036619035
https://www.hebban.nl/boek/epidemie-robin-cook,16,27,17,3,0,-1,[],106,1,34,3,1,"['Thrillers & Spanning', 'Pockets populaire fictie', 'Pockets spanning', 'Spannende boeken algemeen']",[],A.W. Bruna Uitgevers B.V.,01 januari 1900,06 december 2005,"['9789022977828', '9789044923568', '9789046111673']"
https://www.hebban.nl/boek/de-leather-wedge-e-van-gelder-de-neufville,0,0,0,0,0,-1,[],0,0,0,0,0,"['Lifestyle & Vrije tijd', 'Balspelen']",144,Solo,15 april 2005,15 april 2005,9789076268590
https://www.hebban.nl/boek/de-herfst-zal-schitterend-zijn-jan-siebelink,5,8,14,10,3,-1,[],58,2,15,1,3,"['Literatuur & Romans', 'Literaire roman, novelle']",[],De Bezige Bij,01 maart 1997,31 oktober 2009,"['9789029050494', '9789029072366', '9789023420088']"
https://www.hebban.nl/boek/alle-kleuters-carry-slee,2,1,0,0,0,-1,[],4,0,3,0,2,"['Kind & Jeugd', 'Kleuterboeken']",160,Carry Slee,13 maart 2020,04 september 2020,"['9789048849536', '9789048849543']"
https://www.hebban.nl/boek/het-huis-anubis-3-de-geheimzinnige-vloek,7,5,6,0,0,-1,[],19,4,9,2,1,"['Kind & Jeugd', 'Fictie kinder- en jeugdboeken algemeen']",[],Studio 100 NV,30 november 2006,10 december 2007,"['9789059162754', '9789059161917']"
https://www.hebban.nl/boek/elke-dag-een-vraag-bloem,0,0,1,0,0,-1,[],1,0,0,0,0,"['Stripboeken', 'Cadeauboeken algemeen']",368,BBNC Uitgevers,15 augustus 2018,15 augustus 2018,9789045323206
https://www.hebban.nl/boek/het-bucketlist-boek-voor-koppels-elise-de-rijck,1,0,4,0,0,-1,[],8,0,9,0,0,"['Lifestyle & Vrije tijd', 'Lifestyle algemeen']",130,Lannoo,02 maart 2017,02 maart 2017,9789401440776
https://www.hebban.nl/boek/nijntje-in-het-museum-dick-bruna,1,2,0,0,0,-1,[],3,0,0,1,0,"['Kind & Jeugd', 'Kinderboeken diversen']",[],Mercis Publishing B.V.,18 september 1997,30 januari 2014,"['9789056153076', '9789056474317']"
https://www.hebban.nl/boek/snert-samuel-levie,0,1,0,0,0,-1,[],1,0,2,0,0,"['Culinair', 'Eten en drinken algemeen']",128,Nijgh & Van Ditmar,02 maart 2021,03 maart 2021,9789038810492
https://www.hebban.nl/boek/de-toetssteen-maarten-t-hart,0,1,0,0,0,-1,[],1,1,9,0,0,"['Literaire non-fictie', 'Literaire non-fictie algemeen']",272,Nijgh & Van Ditmar,23 maart 2021,23 maart 2021,"['9789038810270', '9789038810287']"
https://www.hebban.nl/boek/paco-in-de-disco-magali-le-huche,0,0,0,0,0,-1,[],0,0,0,0,0,"['Kind & Jeugd', 'Prentenboeken (<6 jaar)']",32,"Clavis B.V.B.A., Uitgeverij",12 maart 2019,06 maart 2020,9789044835656
https://www.hebban.nl/boek/de-fuut-jan-johan-vlug,0,0,0,0,0,-1,[],0,0,7,0,0,[],[],[],[],[],[]
https://www.hebban.nl/boek/hoe-ging-dat-ook-alweer-heidi-jaspers,2,1,0,0,0,-1,[],3,0,3,0,1,"['Kind & Jeugd', 'Prentenboeken (<6 jaar)']",160,Baeckens Books,15 maart 2021,22 maart 2021,9789059249325
https://www.hebban.nl/boek/papa-is-een-ijsbeer-edward-van-de-vendel,2,0,0,0,0,2243,[],2,0,5,0,1,"['Kind & Jeugd', 'Fictie 10-12 jaar']",64,Uitgeverij De Eenhoorn,07 april 2021,07 april 2021,9789462915589
https://www.hebban.nl/boek/keto-in-15-minuten-mediterraans-julie-van-den-kerchove,0,0,0,0,0,-1,Keto in 15 minuten,0,0,3,1,0,"['Culinair', 'Eten en drinken algemeen']",240,Lannoo,16 maart 2021,16 maart 2021,"['9789401475815', '9789401474269']"
https://www.hebban.nl/boek/meneer-wilder-en-ik-jonathan-coe,8,12,5,2,0,1673,[],29,4,90,1,3,"['Literatuur & Romans', 'Vertaalde literaire roman, novelle']",256,De Bezige Bij,25 maart 2021,25 maart 2021,"['9789403125015', '9789403127910']"
https://www.hebban.nl/boek/3-2-1-go-andre-kuipers,1,1,0,0,1,-1,[],3,0,6,0,1,"['Kind & Jeugd', 'Fictie 7-9 jaar']",64,Witte Leeuw,07 april 2021,07 april 2021,9789492901781
https://www.hebban.nl/boek/de-filosofie-van-een-kat-john-gray,0,2,3,0,0,-1,[],5,1,27,0,0,"['Mens & Maatschappij', 'Filosofie algemeen']",200,Unieboek | Het Spectrum,29 oktober 2020,29 oktober 2020,9789000363810
https://www.hebban.nl/boek/nijntje-opa-en-oma-pluus-in-t-achterhooks-dick-bruna,0,0,0,0,0,-1,[],0,0,0,0,0,"['Kind & Jeugd', 'Kinderboeken diversen']",[],"Bornmeer, Uitgeverij",26 januari 1996,11 september 2021,"['9789056153083', '9789056153090', '9789056153120']"
https://www.hebban.nl/boek/jfk-fredrik-logevall,2,1,2,0,0,-1,[],5,2,29,0,1,"['Geschiedenis & Politiek', 'Historische biografieen', 'Moderne geschiedenis (1870-heden)']",816,Unieboek | Het Spectrum,05 november 2020,05 november 2020,"['9789000347407', '9789000347414']"
https://www.hebban.nl/boek/capitool-top-10-athene-capitool,0,0,0,0,0,-1,[],0,0,0,0,0,"['Reizen & Talen', 'Reisgidsen Europa']",160,Unieboek|Het Spectrum,30 augustus 2017,30 augustus 2017,9789000356621
https://www.hebban.nl/boek/capitool-top-10-dubrovnik-en-de-dalmatische-kust-capitool,0,0,0,0,0,-1,[],0,0,1,0,0,"['Reizen & Talen', 'Reisgidsen Europa']",128,Unieboek|Het Spectrum,30 augustus 2017,30 augustus 2017,9789000356638
https://www.hebban.nl/boek/hck-mirjam-mous,33,47,13,4,0,1918,H@ck (1),101,6,89,14,10,"['Kind & Jeugd', ', Young Adult', 'Fictie 15+', 'Fictie 13-15 jaar']",320,Van Goor,26 februari 2019,26 februari 2019,"['9789000366293', '9789000366309']"
https://www.hebban.nl/boek/hck-mirjam-mous,33,47,13,4,0,1918,H@ck (1),101,6,89,14,10,"['Kind & Jeugd', ', Young Adult', 'Fictie 15+', 'Fictie 13-15 jaar']",320,Van Goor,26 februari 2019,26 februari 2019,"['9789000366293', '9789000366309']"
https://www.hebban.nl/boek/hck-mirjam-mous,33,47,13,4,0,1918,H@ck (1),101,6,89,14,10,"['Kind & Jeugd', ', Young Adult', 'Fictie 15+', 'Fictie 13-15 jaar']",320,Van Goor,26 februari 2019,26 februari 2019,"['9789000366293', '9789000366309']"
https://www.hebban.nl/boek/taartbijbel-hans-spitsbaard,1,0,0,0,0,-1,[],2,1,4,0,0,"['Culinair', 'Eten en drinken algemeen']",464,Carrera,07 oktober 2019,15 februari 2021,"['9789048847266', '9789048847273']"
https://www.hebban.nl/boek/anwb-wandelgids-nederland-nanda-raaphorst,0,0,0,0,0,-1,[],0,0,0,0,0,"['Reizen & Talen', 'Wandelgidsen']",196,ANWB,08 oktober 2019,08 oktober 2019,9789018045524
https://www.hebban.nl/boek/help-ik-heb-mijn-vrouw-zwanger-gemaakt-kluun,21,39,49,8,1,-1,[],178,2,11,1,0,"['Literatuur & Romans', 'Zwangerschap en opvoeding algemeen (populair)']",[],Uitgeverij Podium b.v.,06 november 2008,06 november 2008,9789057592386
https://www.hebban.nl/boek/nog-meer-uit-van-bovens-oven-yvette-van-boven,2,1,1,0,0,-1,[],4,0,4,1,0,"['Culinair', 'Eten en drinken algemeen']",128,Fontaine Uitgevers B.V.,29 september 2016,29 september 2016,9789059567269
https://www.hebban.nl/boek/normandie-capitool,0,0,0,0,0,-1,[],0,0,0,0,0,"['Reizen & Talen', 'Reisgidsen Europa']",144,Unieboek|Het Spectrum,24 mei 2017,24 mei 2017,9789000356270
