position,author_name,link,volgers,favorieten,gelezen,aanhetlezen,wiliklezen,favoriet,recensies,artikelen,newsroom,spots,topics
1315,Michail Boelgakov,https://www.hebban.nl/auteur/michail-boelgakov,4,39,158,9,113,39,10,,,1,
1316,Mia Sheridan,https://www.hebban.nl/auteur/mia-sheridan,14,29,358,3,454,29,65,3,,7,
1317,Lizi Mulder,https://www.hebban.nl/auteur/lizi-mulder,42,,28,0,8,1,17,,,2,
1318,Zita Theunynck,https://www.hebban.nl/auteur/zita-theunynck,4,39,242,9,187,39,11,,1,1,
1319,J.P. Delaney,https://www.hebban.nl/auteur/jp-delaney,15,28,811,16,694,28,40,,,3,
1320,Josephine Angelini,https://www.hebban.nl/auteur/josephine-angelini,12,31,254,6,175,31,11,,,3,
1321,Dina-Perla,https://www.hebban.nl/auteur/dina-perla,30,13,56,4,12,13,39,,,1,
1322,Steven Erikson,https://www.hebban.nl/auteur/steven-erikson,18,25,164,7,157,25,1,2,,,
1323,Mel Hartman,https://www.hebban.nl/auteur/mel-hartman,30,12,203,4,215,12,78,1,,,
1324,Bianca Mastenbroek,https://www.hebban.nl/auteur/bianca-mastenbroek,31,11,199,7,169,11,38,,1,8,
1325,Anjet Daanje,https://www.hebban.nl/auteur/anjet-daanje,14,28,165,33,331,28,20,,,,
1326,Anoeska Nossol,https://www.hebban.nl/auteur/anoeska-nossol,42,,0,0,1,0,0,,,,
1327,Blake Pierce,https://www.hebban.nl/auteur/blake-pierce,7,35,581,18,300,35,9,,,,
1328,Jeroen Guliker,https://www.hebban.nl/auteur/jeroen-guliker,38,4,227,1,97,4,63,2,,,
1329,Victoria Hislop,https://www.hebban.nl/auteur/victoria-hislop,12,30,486,18,396,30,16,,,4,
1330,Herman Finkers,https://www.hebban.nl/auteur/herman-finkers,25,17,499,50,261,17,17,,5,4,
1331,Lucia van den Brink,https://www.hebban.nl/auteur/lucia-van-den-brink,35,7,128,1,178,7,28,2,,2,
1332,Linda Castillo,https://www.hebban.nl/auteur/linda-castillo,35,7,382,6,214,7,34,,,1,
1333,Ellen de Ruiter,https://www.hebban.nl/auteur/ellen-de-ruiter,42,,0,0,2,0,0,2,,,
1334,Morgan Rice,https://www.hebban.nl/auteur/morgan-rice,17,25,490,24,314,23,18,,,,
1335,William Golding,https://www.hebban.nl/auteur/william-golding,5,37,828,14,206,37,13,,,5,
1336,Jan Kouwenhoven,https://www.hebban.nl/auteur/jan-kouwenhoven,19,23,43,2,39,23,15,,,2,
1337,Boudewijn Büch,https://www.hebban.nl/auteur/boudewijn-buch,7,35,1714,17,186,35,13,1,1,1,
1338,Corinne Hofmann,https://www.hebban.nl/auteur/corinne-hofmann,21,21,469,9,89,21,18,,,1,
1339,Linda Dielemans,https://www.hebban.nl/auteur/linda-dielemans,35,7,146,5,146,7,18,,2,1,
1340,Walter Farley,https://www.hebban.nl/auteur/walter-farley,3,39,139,0,38,39,2,,,1,
1341,Pieter Drift,https://www.hebban.nl/auteur/pieter-drift,42,,13,0,0,0,0,,,,
1342,Lissa Price,https://www.hebban.nl/auteur/lissa-price,14,28,424,7,279,28,20,,,3,
1343,Megan Goldin,https://www.hebban.nl/auteur/megan-goldin,6,36,706,34,900,36,57,1,,2,
1344,Sjoerd Kuyper,https://www.hebban.nl/auteur/sjoerd-kuyper,9,33,445,18,181,33,42,5,2,3,
1345,Charles Martin,https://www.hebban.nl/auteur/charles-martin,6,36,512,4,298,36,28,,,4,
1346,Hedwig Meesters,https://www.hebban.nl/auteur/hedwig-meesters,41,,19,0,41,1,13,,,,
